Name,Gene_Symbol,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000710950.1,MALAT1,metastasis associated lung adenocarcinoma transcript 1,4236.242694162468,-0.5396618089899748,0.0853079339224979,-6.326044767187259,2.515248722413603e-10,2.3014181255464962e-07
ENST00000233813.5,IGFBP5,insulin like growth factor binding protein 5,1470.4743542299632,2.1698979084805154,0.3439073074534929,6.309542895577914,2.7986079438346556e-10,2.52608404054719e-07
ENST00000370828.4,GPC4,glypican 4,137.90757332722936,-1.7375690719195525,0.2755487665383992,-6.3058495733727495,2.866173079712725e-10,2.552575529151091e-07
ENST00000560975.5,TPM1,tropomyosin 1,157.76857882673696,-0.6590575145530804,0.1046919709365414,-6.295205913666149,3.069920621779869e-10,2.698056289620587e-07
ENST00000490936.5,FLNA,filamin A,323.14861745503566,-1.295279236080231,0.205981495232645,-6.288328155969944,3.209030220334955e-10,2.783687851130559e-07
ENST00000380075.7,TRIM54,tripartite motif containing 54,960.1814988849924,-0.5505367683622,0.0877009310823939,-6.277433563903419,3.4420726225060654e-10,2.873872484345877e-07
ENST00000381395.5,IGF2,insulin like growth factor 2,1322.2153515792538,2.78027968520487,0.4426674594033733,6.280741053232437,3.369629787434503e-10,2.873872484345877e-07
ENST00000372874.9,ADA,adenosine deaminase,34.29372263873648,-8.26063303852696,1.3156040775516298,-6.278965822225325,3.4083249883129117e-10,2.873872484345877e-07
ENST00000350881.6,THBS4,thrombospondin 4,206.69087548066395,0.9846243298750106,0.1575224886897385,6.2506905399035375,4.08641854280232e-10,3.369731359851089e-07
ENST00000633136.2,CPNE5,copine 5,302.8513910810749,0.8234549802902802,0.1319307867660857,6.241568025742713,4.3320595919270925e-10,3.528726687599735e-07
ENST00000483495.5,CPNE1,copine 1,66.77984018596759,-2.033195737372708,0.3259306821391762,-6.23812316173569,4.428519382772185e-10,3.550454143336354e-07
ENST00000503063.5,SPATA20,spermatogenesis associated 20,66.81042270185331,-1.2364513668373376,0.1982497216751647,-6.236837844661807,4.465043986589421e-10,3.550454143336354e-07
ENST00000371335.4,LAMP2,lysosome associated membrane protein 2,2707.59506914652,0.2633967286289038,0.0422661306080489,6.231862837681763,4.609209683912189e-10,3.621971195614479e-07
ENST00000468045.5,PREB,prolactin regulatory element binding,30.62484432039075,-2.3439392050916164,0.3772005700339775,-6.214039403176082,5.163956975263752e-10,4.0107132814624085e-07
ENST00000627587.2,PDLIM5,PDZ and LIM domain 5,650.9915531287246,-1.6750842357969389,0.2708198632247846,-6.185234036569147,6.201040160392652e-10,4.760830764060539e-07
ENST00000557154.6,SRSF5,serine and arginine rich splicing factor 5,599.4960352614785,0.9534906514799772,0.1548991092451268,6.155559293572725,7.48129983728057e-10,5.678476606037709e-07
ENST00000428304.7,ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",1465.5574176477542,-0.4824831294933951,0.0785571967006135,-6.141806858665912,8.158802655968443e-10,6.12313555733434e-07
ENST00000474431.5,NONO,non-POU domain containing octamer binding,45.31974693382335,-8.661422036266993,1.4150325211953545,-6.121005635227537,9.29866153727402e-10,6.901053319118676e-07
ENST00000465351.5,AKR1B1,aldo-keto reductase family 1 member B,104.79268645197168,-1.7229891734267275,0.2818375575518908,-6.113412237861513,9.752301382182223e-10,7.080382810016082e-07
ENST00000513398.2,ACTN3,actinin alpha 3,273.9851300301007,2.0330452925253155,0.3325479088175277,6.113541052639326,9.74442883616635e-10,7.080382810016082e-07
ENST00000430034.1,,,527.0898429996129,1.954197080631083,0.3220780322568071,6.067464666677159,1.2994519348725783e-09,9.33285941267516e-07
ENST00000554864.7,DTNA,dystrobrevin alpha,625.7085959507256,0.683957765017164,0.1130059835405299,6.052403099273592,1.4270083929324852e-09,1.013995729760983e-06
ENST00000458573.3,LMOD2,leiomodin 2,318.63385963363913,0.8256700696484447,0.1368803223828124,6.032058189776161,1.6188446050263775e-09,1.1274193971092172e-06
ENST00000374561.6,ID3,inhibitor of DNA binding 3,1662.2513415848864,1.7408802326478685,0.2887715754861876,6.028571994029715,1.654147092803295e-09,1.1274193971092172e-06
ENST00000254480.10,SMARCC1,SWI/SNF related BAF chromatin remodeling complex subunit C1,500.1245798649821,0.6625481597002261,0.1098978951491481,6.0287611405209125,1.6522126278683191e-09,1.1274193971092172e-06
ENST00000372397.6,TSC22D3,TSC22 domain family member 3,2078.2808321899533,-0.7316023154284923,0.1213407216107299,-6.029322272991972,1.6464866993114515e-09,1.1274193971092172e-06
ENST00000159111.9,KDM4B,lysine demethylase 4B,728.0548173896545,0.9348935857649402,0.1554483875105427,6.014173583508765,1.808066895416797e-09,1.2198789920451468e-06
ENST00000221452.13,RELB,"RELB proto-oncogene, NF-kB subunit",56.4437122973657,-1.3245597997720138,0.2207244801566386,-6.000964636238041,1.9614871154792797e-09,1.3101557039132302e-06
