Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENST00000532642.5,208.16519455867126,-0.8823016866157294,0.1388680870588882,-6.3535237310612755,2.104377055322467e-10,1.952218903239012e-07
ENST00000710950.1,4236.242694162468,-0.5396618089899748,0.08530793392249798,-6.326044767187259,2.515248722413603e-10,2.3014181255464957e-07
ENST00000233813.5,1470.4743542299632,2.1698979084805154,0.34390730745349296,6.309542895577914,2.798607943834656e-10,2.52608404054719e-07
ENST00000370828.4,137.90757332722936,-1.7375690719195525,0.27554876653839927,-6.3058495733727495,2.8661730797127255e-10,2.552575529151091e-07
ENST00000560975.5,157.76857882673696,-0.6590575145530804,0.10469197093654145,-6.295205913666149,3.0699206217798694e-10,2.6980562896205867e-07
ENST00000490936.5,323.14861745503566,-1.295279236080231,0.20598149523264508,-6.288328155969944,3.209030220334955e-10,2.7836878511305583e-07
ENST00000380075.7,960.1814988849924,-0.5505367683622,0.0877009310823939,-6.277433563903419,3.442072622506066e-10,2.873872484345877e-07
ENST00000381395.5,1322.2153515792538,2.78027968520487,0.4426674594033733,6.280741053232437,3.369629787434503e-10,2.873872484345877e-07
ENST00000372874.9,34.293722638736476,-8.26063303852696,1.3156040775516298,-6.278965822225325,3.408324988312912e-10,2.873872484345877e-07
ENST00000350881.6,206.69087548066395,0.9846243298750106,0.15752248868973853,6.2506905399035375,4.0864185428023204e-10,3.3697313598510887e-07
ENST00000633136.2,302.85139108107495,0.8234549802902802,0.1319307867660857,6.241568025742713,4.332059591927093e-10,3.5287266875997347e-07
ENST00000483495.5,66.77984018596759,-2.033195737372708,0.3259306821391762,-6.23812316173569,4.4285193827721857e-10,3.550454143336354e-07
ENST00000503063.5,66.81042270185331,-1.2364513668373376,0.19824972167516472,-6.236837844661807,4.465043986589421e-10,3.550454143336354e-07
ENST00000371335.4,2707.59506914652,0.2633967286289038,0.04226613060804893,6.231862837681763,4.609209683912189e-10,3.621971195614479e-07
ENST00000468045.5,30.62484432039075,-2.3439392050916164,0.37720057003397756,-6.214039403176082,5.163956975263752e-10,4.0107132814624075e-07
ENST00000627587.2,650.9915531287246,-1.6750842357969387,0.2708198632247846,-6.185234036569147,6.201040160392653e-10,4.760830764060539e-07
ENST00000557154.6,599.4960352614785,0.9534906514799772,0.15489910924512684,6.155559293572725,7.48129983728057e-10,5.678476606037709e-07
ENST00000428304.7,1465.5574176477542,-0.48248312949339517,0.07855719670061352,-6.141806858665912,8.158802655968444e-10,6.12313555733434e-07
ENST00000474431.5,45.31974693382335,-8.661422036266993,1.4150325211953543,-6.121005635227537,9.29866153727402e-10,6.901053319118676e-07
ENST00000465351.5,104.79268645197168,-1.7229891734267277,0.2818375575518908,-6.113412237861513,9.752301382182225e-10,7.080382810016082e-07
ENST00000513398.2,273.9851300301007,2.0330452925253155,0.33254790881752777,6.113541052639326,9.74442883616635e-10,7.080382810016082e-07
ENST00000430034.1,527.0898429996129,1.954197080631083,0.3220780322568071,6.067464666677159,1.2994519348725783e-09,9.332859412675161e-07
ENST00000554864.7,625.7085959507256,0.683957765017164,0.11300598354052994,6.052403099273592,1.4270083929324854e-09,1.0139957297609833e-06
ENST00000458573.3,318.63385963363913,0.8256700696484447,0.1368803223828124,6.032058189776161,1.6188446050263777e-09,1.1274193971092172e-06
ENST00000374561.6,1662.2513415848864,1.7408802326478685,0.28877157548618765,6.028571994029715,1.654147092803295e-09,1.1274193971092172e-06
ENST00000254480.10,500.1245798649821,0.6625481597002261,0.10989789514914813,6.0287611405209125,1.652212627868319e-09,1.1274193971092172e-06
ENST00000372397.6,2078.2808321899533,-0.7316023154284923,0.12134072161072994,-6.029322272991972,1.6464866993114517e-09,1.1274193971092172e-06
ENST00000159111.9,728.0548173896545,0.9348935857649402,0.15544838751054277,6.014173583508765,1.808066895416797e-09,1.2198789920451468e-06
ENST00000221452.13,56.4437122973657,-1.3245597997720138,0.22072448015663867,-6.000964636238041,1.9614871154792797e-09,1.3101557039132302e-06
ENST00000381389.5,34.68198949138222,4.532847804699342,0.7557637370123154,5.997704815288694,2.0012587386396154e-09,1.3234859028583612e-06
ENST00000487463.1,62.380205540952176,-1.035390890464599,0.17295114633097675,-5.986609007396636,2.1426100956373646e-09,1.3979700194795142e-06
ENST00000264377.8,1230.800266657589,0.7239394757536638,0.12097834786455788,5.984041677971624,2.176675779648913e-09,1.3979700194795142e-06
ENST00000272902.10,548.7535059220107,-0.6731963129270011,0.11249525592982801,-5.984219577640907,2.1742983277069057e-09,1.3979700194795142e-06
ENST00000634658.1,60.06989380392982,-1.1407840275113221,0.19157337426919196,-5.954815129519689,2.603659785242633e-09,1.656274778052347e-06
ENST00000536829.1,1104.4879300905982,-1.072297892527647,0.1807963486914818,-5.93097095316598,3.0114849067890426e-09,1.897633234566673e-06
ENST00000673230.1,720.1802433630043,0.8388524400969682,0.14164851211710974,5.92207025375202,3.179137467868432e-09,1.9845542806430286e-06
ENST00000376112.4,1457.6170967232165,1.860434594914394,0.31427063743705236,5.919848605923404,3.2223811173252844e-09,1.9929233736168983e-06
ENST00000376717.6,88.36091721543512,1.7497944849583056,0.2963008576968185,5.905465473706909,3.516524309858284e-09,2.154887383052057e-06
ENST00000318602.12,1701.3459419697163,1.1421925658063024,0.19358694265068546,5.900152924401061,3.6316480875640353e-09,2.2052027487341106e-06
ENST00000348495.10,817.5825947764112,0.45745018506443486,0.07763095130831897,5.892626296019823,3.801053740813469e-09,2.2872755276026563e-06
ENST00000679716.1,10.880870298880739,-3.5880596628683095,0.6097618167472115,-5.884362654927947,3.9959080220137406e-09,2.3830596466284447e-06
ENST00000311052.10,188.1365770027741,0.7765047140862993,0.13207689683948098,5.879186539565815,4.122875455732449e-09,2.423017034237701e-06
ENST00000649777.1,129.7664799701441,-1.5405548016932165,0.26205785767184075,-5.8786819650428495,4.135460399184027e-09,2.423017034237701e-06
ENST00000484822.1,9.203293969214423,-3.3630252115524826,0.5734433272003416,-5.864616522737138,4.501718722091464e-09,2.6065340458632165e-06
ENST00000706660.1,157.59803209237538,-0.834321233343433,0.14228586287584047,-5.863697323686099,4.526723198492875e-09,2.6065340458632165e-06
ENST00000261745.9,89.94021608164748,-1.0297778605646934,0.17573820960454614,-5.859726594927449,4.636298554687001e-09,2.6468113304424235e-06
ENST00000555374.1,254.88700289538824,0.6350211138290268,0.10841982082428797,5.857057399662947,4.711403244677531e-09,2.6668937993643304e-06
ENST00000343949.9,17.748168513224147,-6.300968626625236,1.0763736753196542,-5.853885849404499,4.802182879205868e-09,2.69543700196367e-06
ENST00000409193.1,16.990239689523495,-2.2434570010519135,0.3839197262126559,-5.843557514440523,5.109764507046072e-09,2.8441800873636275e-06
ENST00000294304.12,453.9199286621569,0.9869960413523189,0.16938529466094543,5.826928738577725,5.645670491795085e-09,3.11650342833852e-06
ENST00000663220.1,290.4656876512053,2.726666050128518,0.4683617548528253,5.821709441210302,5.824875099191665e-09,3.1890713719295743e-06
ENST00000522899.1,37.00884441313036,-1.5001106092349457,0.2577391358926559,-5.820267085320395,5.875366496206928e-09,3.1905628434767927e-06
ENST00000251166.9,371.7308622306928,-1.1538546064348465,0.19894969024851925,-5.799730600200994,6.6421540745091964e-09,3.57787128429651e-06
ENST00000232766.6,324.9548871347829,-0.7612281779016896,0.13159534033096634,-5.784613467218348,7.2679252039359605e-09,3.883630368573588e-06
ENST00000478000.5,19.964357269997752,-4.444262922291451,0.7721732842266035,-5.755525363381038,8.637275194528346e-09,4.5787155503438596e-06
ENST00000460112.3,20.648213620248406,6.018839453945934,1.0462111064722717,5.752987534457468,8.76799529800305e-09,4.611413212085163e-06
ENST00000441594.6,537.8289682681813,1.6266909140755872,0.28348552990652753,5.7381797039586075,9.56995431016895e-09,4.993871314011132e-06
ENST00000524623.1,8.867064128335151,-3.6440603296246272,0.6357962181401423,-5.7314910432848825,9.95516067406185e-09,5.059375048195888e-06
ENST00000441249.1,7.01567634712815,2.9293018566268714,0.5110320206909865,5.732129764913845,9.9177347651382e-09,5.059375048195888e-06
